Name,Card Type,Rating,Current Index,Current Price,General Position,Position,Nation,Club,League
Lecomte,Inform,84,270.77,30800.0,Goalkeeper,GK,France,AS Monaco,FRA 1
Ndidi,Non-Inform,84,76.61,2040.0,Midfielder,CDM,Nigeria,Leicester City,ENG 1
Gomis,Inform,84,257.0,34091.0,Forward,ST,France,Al Hilal,SAU 1
Gabriel Jesus,Inform,84,33.91,28333.0,Forward,ST,Brazil,Manchester City,ENG 1
Giovinco,Inform,84,206.63,36074.0,Midfielder,CAM,Italy,Al Hilal,SAU 1
El Arabi,Inform,84,222.31,23500.0,Forward,ST,Morocco,Olympiacos CFP,GRE 1
Sanson,Headliner,84,86.0,14333.0,Midfielder,CM,France,Olympique de Marseille,FRA 1
Corona,Inform,84,350.1,43525.0,Defender,RB,Mexico,FC Porto,POR 1
Nacho Fernández,Inform,84,175.88,42042.0,Defender,RB,Spain,Real Madrid,ESP 1
Capa,Headliner,84,15.35,26094.0,Defender,RB,Spain,Athletic Club de Bilbao,ESP 1
Mollet,Inform,84,156.6,19966.0,Midfielder,CAM,France,Montpellier HSC,FRA 1
Kolarov,Inform,84,232.41,34281.0,Defender,LB,Serbia,Roma,ITA 1
Iličić,Non-Inform,84,70.09,1500.0,Forward,CF,Slovenia,Atalanta,ITA 1
Guerreiro,Inform,84,210.91,38292.0,Midfielder,LM,Portugal,Borussia Dortmund,GER 1
Boyata,Inform,84,275.52,29550.0,Defender,CB,Belgium,Hertha BSC,GER 1
Mount,Inform,84,482.21,52619.0,Forward,RW,England,Chelsea,ENG 1
Júnior Moraes,EuropaLeagueMOTM,84,152.38,16000.0,Forward,ST,Ukraine,Shakhtar Donetsk,UKR 1
Refaelov,MOTM,84,209.3,22000.0,Midfielder,RM,Israel,Antwerp,BEL 1
Bounou,EuropaLeagueMOTM,84,164.21,18063.0,Goalkeeper,GK,Morocco,Sevilla FC,ESP 1
Embolo,Inform,84,351.56,38380.0,Forward,ST,Switzerland,Borussia M.gladbach,GER 1
Demirbay,MOTM,84,165.97,17458.0,Midfielder,CM,Germany,Bayer 04 Leverkusen,GER 1
Li Ang,TOTSSF,84,539.53,58000.0,Defender,CB,China PR,Jiangsu Suning,CHN 1
Marlos,MOTM,84,136.79,14500.0,Midfielder,RM,Ukraine,Shakhtar Donetsk,UKR 1
Liu Dianzuo,TOTSSF,84,603.77,80000.0,Goalkeeper,GK,China PR,Guangzhou Evergrande Taobao,CHN 1
Can,MOTM,84,243.92,33083.0,Defender,CB,Germany,Borussia Dortmund,GER 1
Jordi Masip,Inform,84,235.77,27000.0,Goalkeeper,GK,Spain,Real Valladolid,ESP 1
Chilwell,Inform,84,498.86,54875.0,Defender,LB,England,Leicester City,ENG 1
Whiteman,TOTSSF,84,242.77,35000.0,Midfielder,CDM,England,Doncaster Rovers,ENG 3
Ings,Inform,84,349.27,37288.0,Forward,ST,England,Southampton,ENG 1
Fernandez,LibertadoresSpecial,84,163.64,17200.0,Defender,CB,Peru,Binacional,CON1
Rafinha,Inform,84,182.59,19400.0,Midfielder,CM,Brazil,RC Celta de Vigo,ESP 1
Sepe,Inform,84,139.84,14750.0,Goalkeeper,GK,Italy,Parma,ITA 1
Wan-Bissaka,Inform,84,68.67,48069.0,Defender,RB,England,Manchester United,ENG 1
Busquets,LibertadoresSpecial,84,229.49,24714.0,Defender,RB,Uruguay,Penarol,CON1
Rubén Blanco,Inform,84,459.52,55143.0,Goalkeeper,GK,Spain,RC Celta de Vigo,ESP 1
Dolberg,Inform,84,433.45,47679.0,Forward,ST,Denmark,OGC Nice,FRA 1
Kimpembe,ChampionsLeagueMOTM,84,129.43,50800.0,Defender,CB,France,Paris Saint-Germain,FRA 1
Sabitzer,ChampionsLeagueMOTM,84,276.19,29000.0,Midfielder,CM,Austria,RB Leipzig,GER 1
Quaresma,TOTWMoments,84,254.95,30000.0,Midfielder,LM,Portugal,Kasımpaşa,TUR 1
Henderson,TOTYNominee,84,190.91,21000.0,Midfielder,CDM,England,Liverpool,ENG 1
Arnautović,Inform,84,117.47,19000.0,Forward,ST,Austria,Shanghai SIPG,CHN 1
Mitrović,Inform,84,298.45,39139.0,Forward,ST,Serbia,Fulham,ENG 2
Ødegaard,Inform,84,389.4,60400.0,Midfielder,CM,Norway,Real Sociedad,ESP 1
de Jong,Inform,84,586.66,90000.0,Forward,ST,Netherlands,Sevilla FC,ESP 1
Ayoze Pérez,Inform,84,93.21,20083.0,Midfielder,CAM,Spain,Leicester City,ENG 1
Leno,Non-Inform,84,74.81,4414.0,Goalkeeper,GK,Germany,Arsenal,ENG 1
Saint-Maximin,Inform,84,35.71,50000.0,Midfielder,LM,France,Newcastle United,ENG 1
Martínez,Non-Inform,84,110.12,2643.0,Forward,ST,Argentina,Inter,ITA 1
Canales,Non-Inform,84,87.77,2633.0,Midfielder,CAM,Spain,Real Betis Balompié,ESP 1
McGinn,Inform,84,156.9,37133.0,Midfielder,CAM,Scotland,Aston Villa,ENG 1
Partey,Inform,84,36.81,23000.0,Midfielder,CM,Ghana,Atlético de Madrid,ESP 1
Aké,WinterRefresh,84,18.33,33000.0,Defender,CB,Netherlands,Bournemouth,ENG 1
Haaland,Inform,84,306.55,62842.0,Forward,ST,Norway,Red Bull Salzburg,AUT 1
David Neres,ChampionsLeagueLive,84,44.55,24500.0,Forward,LW,Brazil,Ajax,NED 1
van de Beek,Inform,84,107.54,34145.0,Midfielder,CDM,Netherlands,Ajax,NED 1
Ricardo Pereira,Inform,84,36.76,29250.0,Defender,RB,Portugal,Leicester City,ENG 1
Payet,Inform,84,382.18,60300.0,Forward,LW,France,Olympique de Marseille,FRA 1
Guaita,TOTWMoments,84,240.0,31800.0,Goalkeeper,GK,Spain,Crystal Palace,ENG 1
Lingard,TOTWMoments,84,143.02,30750.0,Midfielder,CM,England,Manchester United,ENG 1
Funes Mori,TOTWMoments,84,351.68,46250.0,Forward,ST,Argentina,Monterrey,MEX 1
Machís,TOTWMoments,84,118.48,26250.0,Forward,ST,Venezuela,Granada CF,ESP 1
Rafa,TOTWMoments,84,272.83,40750.0,Midfielder,LM,Portugal,SL Benfica,POR 1
Fraser,TOTWMoments,84,201.43,42000.0,Midfielder,LM,Scotland,Bournemouth,ENG 1
Pepe Reina,TOTWMoments,84,339.9,48375.0,Goalkeeper,GK,Spain,Aston Villa,ENG 1
Dennis,TOTWMoments,84,330.0,33000.0,Midfielder,RM,Nigeria,Club Brugge,BEL 1
Poulsen,TOTWMoments,84,322.16,35438.0,Forward,ST,Denmark,RB Leipzig,GER 1
Henry,TOTSSF,84,269.16,36000.0,Forward,RW,England,Oxford United,ENG 3
Schwolow,TOTWMoments,84,208.99,24000.0,Goalkeeper,GK,Germany,SC Freiburg,GER 1
Al Mayoof,TOTSSF,84,546.54,59950.0,Goalkeeper,GK,Saudi Arabia,Al Hilal,SAU 1
Goode,TOTSSF,84,341.3,39250.0,Defender,CB,England,Northampton Town,ENG 4
De Paul,TOTWMoments,84,430.43,49500.0,Midfielder,CM,Argentina,Udinese,ITA 1
Isak,TOTWMoments,84,212.89,31667.0,Forward,ST,Sweden,Real Sociedad,ESP 1
Belotti,TOTWMoments,84,271.19,40000.0,Forward,ST,Italy,Torino,ITA 1
Ljajić,TOTWMoments,84,771.55,87286.0,Midfielder,LM,Serbia,Besiktas,TUR 1
van Aanholt,WinterRefresh,84,31.06,39938.0,Defender,LB,Netherlands,Crystal Palace,ENG 1
Pizzi,Non-Inform,84,76.65,1533.0,Midfielder,RM,Portugal,SL Benfica,POR 1
Doherty,Inform,84,153.53,28803.0,Defender,RB,Republic of Ireland,Wolverhampton Wanderers,ENG 1
Douglas Costa,Non-Inform,84,22.9,5267.0,Midfielder,LM,Brazil,Piemonte Calcio,ITA 1
Maguire,Inform,84,164.86,36063.0,Defender,CB,England,Manchester United,ENG 1
Mina,Inform,84,297.27,41550.0,Defender,CB,Colombia,Everton,ENG 1
Caputo,Inform,84,169.34,30000.0,Forward,ST,Italy,Sassuolo,ITA 1
Iñaki Williams,MOTM,84,82.0,41000.0,Forward,ST,Spain,Athletic Club de Bilbao,ESP 1
Rulli,Inform,84,222.06,30000.0,Goalkeeper,GK,Argentina,Montpellier HSC,FRA 1
Arthur,Non-Inform,84,95.56,4300.0,Midfielder,CM,Brazil,FC Barcelona,ESP 1
Giroud,MOTM,84,245.08,26500.0,Forward,ST,France,Chelsea,ENG 1
Jesús Navas,Inform,84,500.89,72879.0,Defender,RB,Spain,Sevilla FC,ESP 1
Pašalić,Inform,84,621.31,66225.0,Midfielder,CAM,Croatia,Atalanta,ITA 1
Cragno,Inform,84,252.84,28235.0,Goalkeeper,GK,Italy,Cagliari,ITA 1
Mkhitaryan,Inform,84,272.86,28691.0,Forward,CF,Armenia,Roma,ITA 1
Matheus Pereira,Inform,84,283.6,30467.0,Forward,RW,Brazil,West Bromwich Albion,ENG 2
Vlašić,Inform,84,320.91,33696.0,Midfielder,CAM,Croatia,CSKA Moskva,RUS 1
Livaja,MOTM,84,139.29,14625.0,Forward,LW,Croatia,AEK Athens,GRE 1
Sánchez,EuropaLeagueMOTM,84,333.84,37000.0,Forward,ST,Chile,Inter,ITA 1
Goretzka,Non-Inform,84,15.33,5083.0,Midfielder,CM,Germany,Bayern München,GER 1
Muslera,Inform,84,275.29,29731.0,Goalkeeper,GK,Uruguay,Galatasaray,TUR 1
Fernando,Inform,84,521.35,61259.0,Midfielder,CM,Brazil,Sevilla FC,ESP 1
Córdoba,Inform,84,104.19,28333.0,Forward,ST,Colombia,1. FC Köln,GER 1
Sancho,Non-Inform,84,16.14,4600.0,Midfielder,RM,England,Borussia Dortmund,GER 1
Nacho Monreal,Inform,84,520.81,64778.0,Defender,LB,Spain,Real Sociedad,ESP 1
Aitor,Inform,84,555.41,62484.0,Goalkeeper,GK,Spain,Levante UD,ESP 1
Pallois,Inform,84,573.77,70000.0,Defender,CB,France,FC Nantes,FRA 1
Thuram,Inform,84,185.73,36682.0,Forward,ST,France,Borussia M.gladbach,GER 1
Luis Alberto,Non-Inform,84,122.7,3313.0,Midfielder,CAM,Spain,Lazio,ITA 1
de Vrij,Non-Inform,84,97.91,3133.0,Defender,CB,Netherlands,Inter,ITA 1
Dani Ceballos,MOTM,84,147.46,16875.0,Midfielder,CM,Spain,Arsenal,ENG 1
Dabo,TOTSSF,84,240.74,32500.0,Defender,RB,England,Coventry City,ENG 3
Arthur,ChampionsLeagueRare,84,84.89,7067.0,Midfielder,CM,Brazil,FC Barcelona,ESP 1
Stengs,Inform,84,178.2,27250.0,Midfielder,RM,Netherlands,AZ,NED 1
Benedetto,Inform,84,94.37,29750.0,Forward,ST,Argentina,Olympique de Marseille,FRA 1
Bensebaini,Inform,84,266.44,39167.0,Defender,LB,Algeria,Borussia M.gladbach,GER 1
Orellana,Inform,84,496.91,80500.0,Midfielder,LM,Chile,SD Eibar,ESP 1
Tadić,ChampionsLeagueRare,84,22.46,2033.0,Midfielder,CAM,Serbia,Ajax,NED 1
Depay,ChampionsLeagueRare,84,115.65,17733.0,Forward,CF,Netherlands,Olympique Lyonnais,FRA 1
Nieto,LibertadoresSpecial,84,159.66,17563.0,Midfielder,CM,Colombia,Deportes Tolima,COL 1
Pizzi,ChampionsLeagueRare,84,26.77,2329.0,Midfielder,RM,Portugal,SL Benfica,POR 1
Havertz,ChampionsLeagueRare,84,86.72,7400.0,Midfielder,CAM,Germany,Bayer 04 Leverkusen,GER 1
Goretzka,ChampionsLeagueRare,84,105.47,16810.0,Midfielder,CM,Germany,Bayern München,GER 1
Bernard,ScreamTeam,84,10.13,20167.0,Midfielder,LM,Brazil,Everton,ENG 1
Javi Martínez,ChampionsLeagueRare,84,60.0,5250.0,Midfielder,CDM,Spain,Bayern München,GER 1
Brandt,ChampionsLeagueRare,84,74.36,6767.0,Midfielder,CAM,Germany,Borussia Dortmund,GER 1
Arias,LibertadoresSpecial,84,235.1,28139.0,Midfielder,CDM,Colombia,Independiente Medellín,COL 1
Brandt,OnesToWatch,84,37.02,18953.0,Midfielder,CAM,Germany,Borussia Dortmund,GER 1
de Vrij,ChampionsLeagueRare,84,57.67,4960.0,Defender,CB,Netherlands,Inter,ITA 1
Gerard Moreno,Inform,84,264.72,38385.0,Midfielder,RM,Spain,Villarreal CF,ESP 1
Douglas Costa,ChampionsLeagueRare,84,46.21,8375.0,Midfielder,LM,Brazil,Piemonte Calcio,ITA 1
Alli,ChampionsLeagueRare,84,10.51,7383.0,Midfielder,CAM,England,Tottenham Hotspur,ENG 1
Dembélé,ChampionsLeagueRare,84,26.92,10767.0,Forward,RW,France,FC Barcelona,ESP 1
Perišić,ChampionsLeagueRare,84,62.16,5750.0,Midfielder,LM,Croatia,Bayern München,GER 1
Boateng,ChampionsLeagueRare,84,82.46,9380.0,Defender,CB,Germany,Bayern München,GER 1
Koscielny,Inform,84,269.9,39000.0,Defender,CB,France,Girondins de Bordeaux,FRA 1
Pavlenka,Non-Inform,84,65.28,1175.0,Goalkeeper,GK,Czech Republic,Werder Bremen,GER 1
Wan-Bissaka,OnesToWatch,84,90.65,30821.0,Defender,RB,England,Manchester United,ENG 1
Havertz,Non-Inform,84,17.86,4480.0,Midfielder,CAM,Germany,Bayer 04 Leverkusen,GER 1
Tadić,Non-Inform,84,61.44,983.0,Midfielder,CAM,Serbia,Ajax,NED 1
Torsiglieri,LibertadoresSpecial,84,248.08,26875.0,Defender,CB,Argentina,Wilstermann,CON1
Velasco,LibertadoresSpecial,84,160.97,22000.0,Defender,LB,Colombia,América de Cali,COL 1
Delaney,Inform,84,44.26,31205.0,Midfielder,CDM,Denmark,Borussia Dortmund,GER 1
Hernández,OnesToWatch,84,16.79,17712.0,Defender,CB,France,Bayern München,GER 1
Vidal,ChampionsLeagueRare,84,71.11,7360.0,Midfielder,CM,Chile,FC Barcelona,ESP 1
Zielinski,ChampionsLeagueMOTM,84,270.64,29094.0,Midfielder,CM,Poland,Napoli,ITA 1
Mahrez,ChampionsLeagueRare,84,49.07,7933.0,Forward,RW,Algeria,Manchester City,ENG 1
Oyarzabal,Inform,84,321.28,46987.0,Forward,LW,Spain,Real Sociedad,ESP 1
Santi Cazorla,Inform,84,427.28,59020.0,Midfielder,CAM,Spain,Villarreal CF,ESP 1
Strakosha,Inform,84,323.2,40400.0,Goalkeeper,GK,Albania,Lazio,ITA 1
Tagliafico,Inform,84,95.88,39550.0,Defender,LB,Argentina,Ajax,NED 1
Felipe Anderson,Non-Inform,84,8.93,3750.0,Midfielder,LM,Brazil,West Ham United,ENG 1
Višća,Non-Inform,84,73.89,1367.0,Midfielder,RM,Bosnia Herzegovina,Medipol Başakşehir,TUR 1
Hernández,ChampionsLeagueRare,84,16.56,7480.0,Defender,CB,France,Bayern München,GER 1
Felipe,Non-Inform,84,84.6,2933.0,Defender,CB,Brazil,Atlético de Madrid,ESP 1
Kepa,Non-Inform,84,50.53,3800.0,Goalkeeper,GK,Spain,Chelsea,ENG 1
Alli,Non-Inform,84,16.08,2975.0,Midfielder,CAM,England,Tottenham Hotspur,ENG 1
Brandt,Non-Inform,84,14.22,3733.0,Midfielder,CAM,Germany,Borussia Dortmund,GER 1
Coman,Non-Inform,84,32.8,6725.0,Midfielder,LM,France,Bayern München,GER 1
Alex Telles,Non-Inform,84,120.1,8767.0,Defender,LB,Brazil,FC Porto,POR 1
Hernández,Non-Inform,84,9.63,6450.0,Defender,CB,France,Bayern München,GER 1
Dembélé,Non-Inform,84,13.8,8417.0,Forward,RW,France,FC Barcelona,ESP 1
Zapata,Inform,84,113.4,18938.0,Forward,ST,Colombia,Atalanta,ITA 1
Gnabry,Non-Inform,84,36.42,9333.0,Midfielder,RM,Germany,Bayern München,GER 1
Gündoğan,ChampionsLeagueRare,84,16.52,5657.0,Midfielder,CM,Germany,Manchester City,ENG 1
Gnabry,ChampionsLeagueRare,84,72.5,14500.0,Midfielder,RM,Germany,Bayern München,GER 1
Sancho,ChampionsLeagueRare,84,104.35,9600.0,Midfielder,RM,England,Borussia Dortmund,GER 1
João Cancelo,ChampionsLeagueRare,84,28.93,11500.0,Defender,RB,Portugal,Manchester City,ENG 1
Kepa,ChampionsLeagueRare,84,76.97,6600.0,Goalkeeper,GK,Spain,Chelsea,ENG 1
Wijnaldum,ChampionsLeagueRare,84,28.98,5660.0,Midfielder,CM,Netherlands,Liverpool,ENG 1
Mandžukic,ChampionsLeagueRare,84,316.09,27500.0,Forward,ST,Croatia,Piemonte Calcio,ITA 1
Azpilicueta,ChampionsLeagueRare,84,139.67,11942.0,Defender,RB,Spain,Chelsea,ENG 1
José Callejón,ChampionsLeagueRare,84,97.38,8180.0,Midfielder,RM,Spain,Napoli,ITA 1
Willian José,Inform,84,296.83,36362.0,Forward,ST,Brazil,Real Sociedad,ESP 1
Bergwijn,Inform,84,33.58,23375.0,Midfielder,CAM,Netherlands,PSV,NED 1
Nélson Semedo,Inform,84,36.58,41500.0,Defender,LB,Portugal,FC Barcelona,ESP 1
Plea,Inform,84,87.43,29400.0,Forward,ST,France,Borussia M.gladbach,GER 1
Acuña,Inform,84,80.61,22167.0,Defender,LB,Argentina,Sporting CP,POR 1
Diego Costa,ChampionsLeagueRare,83,28.08,2700.0,Forward,ST,Spain,Atlético de Madrid,ESP 1
Carrasco,Non-Inform,83,489.75,7836.0,Midfielder,LM,Belgium,Dalian Yifang,CHN 1
Lemar,ChampionsLeagueRare,83,63.01,5529.0,Midfielder,LM,France,Atlético de Madrid,ESP 1
Buffon,ChampionsLeagueRare,83,28.44,2467.0,Goalkeeper,GK,Italy,Piemonte Calcio,ITA 1
Bernardeschi,ChampionsLeagueRare,83,43.58,3617.0,Midfielder,RM,Italy,Piemonte Calcio,ITA 1
Werner,ChampionsLeagueRare,83,41.27,17900.0,Forward,ST,Germany,RB Leipzig,GER 1
Paco Alcácer,ChampionsLeagueRare,83,54.44,4900.0,Forward,ST,Spain,Borussia Dortmund,GER 1
Rabiot,ChampionsLeagueRare,83,74.2,6400.0,Midfielder,CM,France,Piemonte Calcio,ITA 1
Stones,ChampionsLeagueRare,83,53.98,4480.0,Defender,CB,England,Manchester City,ENG 1
Cuadrado,ChampionsLeagueRare,83,41.52,4500.0,Midfielder,RM,Colombia,Piemonte Calcio,ITA 1
William Carvalho,Non-Inform,83,96.74,1129.0,Midfielder,CDM,Portugal,Real Betis Balompié,ESP 1
Lo Celso,ChampionsLeagueRare,83,31.0,3100.0,Midfielder,CM,Argentina,Tottenham Hotspur,ENG 1
Rabiot,Non-Inform,83,47.89,2714.0,Midfielder,CM,France,Piemonte Calcio,ITA 1
Grimaldo,Non-Inform,83,205.87,4667.0,Defender,LB,Spain,SL Benfica,POR 1
Marco Asensio,Non-Inform,83,115.18,3225.0,Forward,LW,Spain,Real Madrid,ESP 1
Ben Yedder,Non-Inform,83,8.46,4825.0,Forward,ST,France,AS Monaco,FRA 1
Acerbi,Non-Inform,83,73.21,1342.0,Defender,CB,Italy,Lazio,ITA 1
Aránguiz,Non-Inform,83,78.33,940.0,Midfielder,CM,Chile,Bayer 04 Leverkusen,GER 1
Zaha,Non-Inform,83,9.47,3029.0,Forward,CF,Ivory Coast,Crystal Palace,ENG 1
Pablo Sarabia,Non-Inform,83,47.48,1100.0,Midfielder,CAM,Spain,Paris Saint-Germain,FRA 1
Sané,Inform,83,314.82,53324.0,Defender,CB,Senegal,FC Schalke 04,GER 1
Rodrigo,ChampionsLeagueRare,83,22.41,4033.0,Forward,ST,Spain,Valencia CF,ESP 1
Mendy,Inform,83,78.43,49306.0,Defender,LB,France,Manchester City,ENG 1
Henderson,ChampionsLeagueRare,83,26.9,2300.0,Midfielder,CDM,England,Liverpool,ENG 1
Szoboszlai,Inform,83,511.63,55000.0,Midfielder,CAM,Hungary,Red Bull Salzburg,AUT 1
Stindl,Inform,83,138.3,16250.0,Midfielder,CAM,Germany,Borussia M.gladbach,GER 1
Carrasco,Non-Inform,83,118.5,2133.0,Midfielder,LM,Belgium,Atlético de Madrid,ESP 1
Carrasco,ChampionsLeagueRare,83,118.8,4000.0,Midfielder,LM,Belgium,Atlético de Madrid,ESP 1
Paco Alcácer,Non-Inform,83,60.83,963.0,Forward,ST,Spain,Villarreal CF,ESP 1
Stepanenko,EuropaLeagueMOTM,83,128.57,13500.0,Midfielder,CDM,Ukraine,Shakhtar Donetsk,UKR 1
Sidnei,Inform,83,699.38,83926.0,Defender,CB,Brazil,Real Betis Balompié,ESP 1
Gignac,Inform,83,430.4,50000.0,Forward,CF,France,Tigres U.A.N.L.,MEX 1
Almirón,MOTM,83,146.96,16900.0,Midfielder,CAM,Paraguay,Newcastle United,ENG 1
Verdi,TOTWMoments,83,368.09,53833.0,Midfielder,LM,Italy,Torino,ITA 1
Raúl García,Inform,83,475.05,50921.0,Midfielder,CAM,Spain,Athletic Club de Bilbao,ESP 1
Diogo Jota,EuropaLeagueMOTM,83,152.08,18250.0,Forward,LW,Portugal,Wolverhampton Wanderers,ENG 1
Fazio,Inform,83,377.56,40516.0,Defender,CB,Argentina,Roma,ITA 1
Benrahma,Inform,83,350.6,36813.0,Forward,LW,Algeria,Brentford,ENG 2
Pozuelo,TOTWMoments,83,323.81,34000.0,Midfielder,CAM,Spain,Toronto FC,USA 1
Rúben Dias,Inform,83,228.57,24000.0,Defender,CB,Portugal,SL Benfica,POR 1
Reguilón,Inform,83,421.45,44450.0,Defender,LB,Spain,Sevilla FC,ESP 1
Hysaj,Inform,83,368.75,40083.0,Defender,LB,Albania,Napoli,ITA 1
Frei,EuropaLeagueMOTM,83,256.08,28333.0,Midfielder,CDM,Switzerland,FC Basel,CHE 1
Limbombe,WinterRefresh,83,39.33,16714.0,Forward,LW,Belgium,FC Nantes,FRA 1
Baldé,TOTWMoments,83,171.98,43250.0,Forward,ST,Senegal,AS Monaco,FRA 1
Alexander-Arnold,ChampionsLeagueRare,83,129.7,12970.0,Defender,RB,England,Liverpool,ENG 1
Sánchez,ChampionsLeagueRare,83,15.05,4100.0,Defender,CB,Colombia,Tottenham Hotspur,ENG 1
Garay,ChampionsLeagueCommon,83,164.4,14467.0,Defender,CB,Argentina,Valencia CF,ESP 1
Morata,ChampionsLeagueRare,83,24.73,2560.0,Forward,ST,Spain,Atlético de Madrid,ESP 1
Tah,ChampionsLeagueRare,83,61.95,5250.0,Defender,CB,Germany,Bayer 04 Leverkusen,GER 1
Kampl,ChampionsLeagueRare,83,12.87,1113.0,Midfielder,CM,Slovenia,RB Leipzig,GER 1
Lucas Moura,ChampionsLeagueRare,83,19.35,7740.0,Forward,CF,Brazil,Tottenham Hotspur,ENG 1
Draxler,ChampionsLeagueRare,83,61.72,5200.0,Midfielder,CAM,Germany,Paris Saint-Germain,FRA 1
Jorginho,ChampionsLeagueRare,83,25.73,2300.0,Midfielder,CM,Italy,Chelsea,ENG 1
Marco Asensio,ChampionsLeagueRare,83,48.89,4180.0,Forward,LW,Spain,Real Madrid,ESP 1
Dúbravka,Inform,83,256.41,29167.0,Goalkeeper,GK,Slovakia,Newcastle United,ENG 1
Hasebe,TOTWMoments,83,430.75,45500.0,Defender,CB,Japan,Eintracht Frankfurt,GER 1
Hinteregger,Inform,83,201.24,24292.0,Defender,CB,Austria,Eintracht Frankfurt,GER 1
Zaniolo,UELTOTT,83,178.36,21125.0,Midfielder,RM,Italy,Roma,ITA 1
Costil,Inform,83,262.01,29476.0,Goalkeeper,GK,France,Girondins de Bordeaux,FRA 1
Tagliafico,TOTYNominee,83,206.19,25333.0,Defender,LB,Argentina,Ajax,NED 1
Joaquín,Inform,83,284.68,37800.0,Midfielder,LM,Spain,Real Betis Balompié,ESP 1
Campaña,Inform,83,695.65,100000.0,Midfielder,CM,Spain,Levante UD,ESP 1
Paredes,Inform,83,443.49,65889.0,Midfielder,CM,Argentina,Paris Saint-Germain,FRA 1
Berghuis,Inform,83,499.31,65000.0,Forward,RW,Netherlands,Feyenoord,NED 1
Dabbur,TOTWMoments,83,415.88,43667.0,Forward,ST,Israel,TSG 1899 Hoffenheim,GER 1
Akinfeev,TOTWMoments,83,451.52,47667.0,Goalkeeper,GK,Russia,CSKA Moskva,RUS 1
Jiménez,Inform,83,186.84,26500.0,Forward,ST,Mexico,Wolverhampton Wanderers,ENG 1
Khedira,ChampionsLeagueRare,83,24.16,2220.0,Midfielder,CM,Germany,Piemonte Calcio,ITA 1
Grimaldo,ChampionsLeagueRare,83,78.53,6420.0,Defender,LB,Spain,SL Benfica,POR 1
Aránguiz,ChampionsLeagueRare,83,17.29,1500.0,Midfielder,CM,Chile,Bayer 04 Leverkusen,GER 1
Jović,ChampionsLeagueRare,83,28.57,2500.0,Forward,ST,Serbia,Real Madrid,ESP 1
Otamendi,ChampionsLeagueRare,83,20.73,3990.0,Defender,CB,Argentina,Manchester City,ENG 1
Hrádecký,ChampionsLeagueRare,83,16.57,1400.0,Goalkeeper,GK,Finland,Bayer 04 Leverkusen,GER 1
Gonçalo Guedes,ChampionsLeagueRare,83,43.43,3778.0,Midfielder,LM,Portugal,Valencia CF,ESP 1
Fabián,ChampionsLeagueRare,83,42.43,3670.0,Midfielder,CM,Spain,Napoli,ITA 1
Foster,Inform,83,498.31,53180.0,Goalkeeper,GK,England,Watford,ENG 1
Bender,Inform,83,173.81,25129.0,Defender,RB,Germany,Bayer 04 Leverkusen,GER 1
Milik,ChampionsLeagueRare,83,106.03,8933.0,Forward,ST,Poland,Napoli,ITA 1
Barella,Inform,83,179.19,22250.0,Midfielder,CM,Italy,Inter,ITA 1
Smalling,Inform,83,144.73,23091.0,Defender,CB,England,Roma,ITA 1
Benítez,Inform,83,171.37,18667.0,Goalkeeper,GK,Argentina,OGC Nice,FRA 1
Vida,Inform,83,172.85,23000.0,Defender,CB,Croatia,Besiktas,TUR 1
Ramsey,ChampionsLeagueRare,83,36.7,3138.0,Midfielder,CM,Wales,Piemonte Calcio,ITA 1
Akanji,ChampionsLeagueRare,83,55.67,5233.0,Defender,CB,Switzerland,Borussia Dortmund,GER 1
Tolisso,ChampionsLeagueRare,83,41.65,3775.0,Midfielder,CM,France,Bayern München,GER 1
Heaton,Inform,83,422.36,59583.0,Goalkeeper,GK,England,Aston Villa,ENG 1
Gueye,ChampionsLeagueRare,83,43.48,3663.0,Midfielder,CDM,Senegal,Paris Saint-Germain,FRA 1
Blind,ChampionsLeagueRare,83,14.74,1275.0,Midfielder,CDM,Netherlands,Ajax,NED 1
Rooney,MOTM,83,295.33,40250.0,Midfielder,CM,England,Derby County,ENG 2
Haller,OnesToWatch,83,136.74,27827.0,Forward,ST,France,West Ham United,ENG 1
Rodrigo,Non-Inform,83,19.1,2220.0,Forward,ST,Spain,Valencia CF,ESP 1
Cuadrado,Non-Inform,83,45.05,2883.0,Midfielder,RM,Colombia,Piemonte Calcio,ITA 1
Kampl,Non-Inform,83,80.0,880.0,Midfielder,CM,Slovenia,RB Leipzig,GER 1
Bartra,Non-Inform,83,97.08,2160.0,Defender,CB,Spain,Real Betis Balompié,ESP 1
Gueye,Non-Inform,83,29.29,1113.0,Midfielder,CDM,Senegal,Paris Saint-Germain,FRA 1
Otamendi,Non-Inform,83,100.0,1700.0,Defender,CB,Argentina,Manchester City,ENG 1
Casteels,Non-Inform,83,72.73,800.0,Goalkeeper,GK,Belgium,VfL Wolfsburg,GER 1
Jović,Non-Inform,83,35.69,1588.0,Forward,ST,Serbia,Real Madrid,ESP 1
Nani,Inform,83,555.6,64938.0,Midfielder,RM,Portugal,Orlando City SC,USA 1
Rashford,Non-Inform,83,7.44,5900.0,Forward,ST,England,Manchester United,ENG 1
Gonçalo Guedes,Non-Inform,83,23.57,1579.0,Midfielder,LM,Portugal,Valencia CF,ESP 1
Jović,OnesToWatch,83,149.43,34444.0,Forward,ST,Serbia,Real Madrid,ESP 1
