Name,Rating,Position,General Position,Skills,Weakfoot,Age,Height(cm),Weight(kg),Workrate,Foot,Card Type,Nation,Club,League,Total Stats,Average Price,Median Price,Current Price,PAC,Acceleration,Sprint Speed,SHO,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,PAS,Vision,Crossing,FK.Acc.,Short Pass,Long Pass,Curve,DRI,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,DEF,Interceptions,Heading Acc.,Def. Awareness,Stand Tackle,Slide Tackle,PHY,Jumping,Stamina,Strength,Aggression
Višća,93,RM,Midfielder,4,4,29,172,63,HIGH/MED,Right,TOTSSF,Bosnia Herzegovina,Medipol Başakşehir,TUR 1,2373,70057.87,69839.5,77469.0,96,98.0,94.0,90,94.0,91.0,91.0,87.0,84.0,85.0,91,91.0,94.0,69.0,95.0,81.0,85.0,94,99.0,99.0,89.0,94.0,90.0,91.0,56,61.0,53.0,65.0,47.0,47.0,74,79.0,99.0,67.0,54.0
Upamecano,93,CB,Defender,2,3,20,185,83,MED/MED,Right,TOTSSF,France,RB Leipzig,GER 1,2234,231849.61,214312.5,177923.0,90,82.0,94.0,57,55.0,61.0,69.0,38.0,33.0,61.0,83,78.0,66.0,39.0,99.0,92.0,45.0,81,79.0,82.0,87.0,83.0,77.0,88.0,93,93.0,88.0,84.0,99.0,93.0,97,99.0,73.0,99.0,98.0
Gnabry,93,RW,Forward,4,4,24,175,75,HIGH/MED,Right,TOTSSF,Germany,Bayern München,GER 1,2384,202809.99,138500.0,153333.0,96,98.0,94.0,92,92.0,90.0,96.0,90.0,93.0,76.0,90,92.0,91.0,74.0,94.0,82.0,84.0,94,95.0,97.0,90.0,91.0,96.0,86.0,52,45.0,53.0,54.0,50.0,54.0,84,77.0,90.0,84.0,76.0
Lewandowski,93,ST,Forward,4,4,31,184,80,HIGH/MED,Right,Inform,Poland,Bayern München,GER 1,2332,133391.17,103575.0,108792.0,83,83.0,83.0,94,98.0,95.0,94.0,90.0,95.0,92.0,80,83.0,67.0,91.0,88.0,70.0,83.0,90,82.0,86.0,95.0,93.0,90.0,91.0,45,42.0,93.0,37.0,46.0,20.0,87,89.0,82.0,89.0,85.0
Nedved,93,CAM,Midfielder,4,5,47,177,72,HIGH/MED,Right,IconMoment,Czech Republic,Icons,ICO,2451,1206033.66,840531.5,615656.0,88,86.0,88.0,91,91.0,86.0,95.0,97.0,91.0,85.0,93,93.0,93.0,89.0,93.0,91.0,88.0,94,84.0,81.0,91.0,96.0,96.0,90.0,62,66.0,80.0,65.0,53.0,51.0,84,73.0,95.0,77.0,87.0
Saúl,93,CM,Midfielder,3,4,24,184,77,HIGH/HIGH,Left,TOTSSF,Spain,Atlético de Madrid,ESP 1,2533,,,,84,85.0,84.0,87,91.0,87.0,91.0,90.0,84.0,61.0,93,96.0,81.0,70.0,99.0,97.0,84.0,94,84.0,80.0,95.0,98.0,94.0,96.0,87,88.0,92.0,85.0,87.0,85.0,88,88.0,98.0,86.0,77.0
Dalglish,93,ST,Forward,4,5,68,173,73,HIGH/MED,Right,IconMoment,Scotland,Icons,ICO,2329,2622615.7,2364521.0,1656667.0,92,94.0,90.0,95,96.0,97.0,91.0,93.0,95.0,92.0,80,78.0,78.0,90.0,88.0,58.0,85.0,92,93.0,92.0,96.0,93.0,91.0,93.0,42,32.0,88.0,37.0,41.0,38.0,75,80.0,88.0,68.0,74.0
Bergkamp,93,CF,Forward,4,4,50,183,78,MED/MED,Right,IconMoment,Netherlands,Icons,ICO,2357,827518.73,490250.0,401071.0,86,87.0,84.0,96,99.0,98.0,97.0,90.0,99.0,97.0,87,92.0,85.0,85.0,92.0,78.0,85.0,95,84.0,85.0,98.0,99.0,93.0,99.0,39,32.0,69.0,32.0,43.0,38.0,79,80.0,83.0,79.0,75.0
Drogba,93,ST,Forward,4,4,41,189,91,HIGH/HIGH,Right,IconMoment,Ivory Coast,Icons,ICO,2387,1538452.41,915073.5,894296.0,93,94.0,91.0,95,93.0,97.0,96.0,87.0,95.0,98.0,81,87.0,79.0,87.0,81.0,73.0,79.0,87,77.0,72.0,92.0,92.0,84.0,93.0,48,48.0,99.0,41.0,41.0,37.0,94,96.0,96.0,95.0,87.0
Pirlo,92,CM,Midfielder,5,4,40,177,67,MED/MED,Right,Icon,Italy,Icons,ICO,2347,405862.97,288724.0,232500.0,73,74.0,72.0,80,87.0,78.0,80.0,84.0,73.0,90.0,95,96.0,90.0,96.0,96.0,96.0,94.0,91,84.0,76.0,95.0,95.0,91.0,95.0,71,79.0,54.0,74.0,69.0,66.0,67,59.0,84.0,65.0,55.0
Moore,92,CB,Defender,2,3,78,178,72,MED/MED,Right,Icon,England,Icons,ICO,2318,259322.28,218708.5,138000.0,68,69.0,68.0,64,61.0,55.0,77.0,68.0,64.0,76.0,83,81.0,72.0,66.0,92.0,89.0,72.0,78,82.0,83.0,93.0,90.0,66.0,94.0,93,92.0,88.0,94.0,94.0,92.0,85,84.0,93.0,83.0,80.0
Maldini,92,CB,Defender,2,4,51,186,83,MED/HIGH,Right,Icon,Italy,Icons,ICO,2115,1116363.26,1172143.0,725731.0,82,82.0,82.0,56,39.0,57.0,73.0,38.0,65.0,54.0,74,69.0,77.0,31.0,85.0,79.0,36.0,68,61.0,64.0,95.0,73.0,61.0,97.0,95,96.0,92.0,94.0,96.0,95.0,81,82.0,80.0,83.0,79.0
Denayer,92,CB,Defender,2,3,24,184,80,MED/HIGH,Right,ChampionsLeagueShowdown,Belgium,Olympique Lyonnais,FRA 1,2259,,,,89,87.0,89.0,55,47.0,55.0,66.0,47.0,45.0,51.0,83,80.0,76.0,38.0,96.0,89.0,46.0,86,84.0,77.0,98.0,87.0,83.0,98.0,93,93.0,88.0,90.0,94.0,95.0,91,88.0,88.0,92.0,92.0
Garrincha,92,RW,Forward,5,4,85,169,71,MED/LOW,Right,Icon,Brazil,Icons,ICO,2275,891688.64,995000.0,463158.0,90,91.0,90.0,86,89.0,87.0,84.0,85.0,83.0,83.0,92,94.0,93.0,88.0,93.0,91.0,89.0,94,88.0,88.0,91.0,94.0,96.0,91.0,41,49.0,66.0,36.0,36.0,32.0,67,65.0,83.0,64.0,56.0
Casemiro,92,CDM,Midfielder,2,3,27,185,84,MED/HIGH,Right,TOTSSF,Brazil,Real Madrid,ESP 1,2437,81915.64,81667.0,70857.0,70,65.0,74.0,80,76.0,71.0,95.0,90.0,67.0,73.0,84,86.0,64.0,82.0,92.0,91.0,70.0,84,72.0,77.0,99.0,91.0,80.0,98.0,92,93.0,82.0,90.0,94.0,93.0,94,91.0,92.0,95.0,94.0
Atal,92,RW,Forward,4,5,23,176,70,HIGH/HIGH,Right,TOTSSF,Algeria,OGC Nice,FRA 1,2558,407270.47,226333.5,151500.0,98,99.0,96.0,92,99.0,97.0,92.0,82.0,92.0,79.0,89,86.0,95.0,59.0,92.0,90.0,85.0,96,94.0,92.0,92.0,93.0,98.0,87.0,82,83.0,72.0,78.0,85.0,85.0,89,85.0,96.0,82.0,93.0
Savanier,92,CM,Midfielder,4,4,27,171,62,MED/MED,Right,TOTSSF,France,Montpellier HSC,FRA 1,2549,65464.61,68491.5,78083.0,86,92.0,81.0,90,93.0,86.0,99.0,92.0,71.0,96.0,94,95.0,90.0,90.0,95.0,94.0,90.0,91,97.0,99.0,89.0,92.0,87.0,91.0,84,99.0,52.0,80.0,89.0,86.0,83,57.0,95.0,73.0,99.0
Zahavi,92,ST,Forward,4,4,32,182,71,HIGH/LOW,Right,TOTSSF,Israel,Guangzhou RF,CHN 1,2383,85898.5,80682.0,166552.0,86,87.0,84.0,95,97.0,99.0,92.0,91.0,90.0,76.0,86,95.0,70.0,91.0,91.0,81.0,87.0,92,99.0,80.0,88.0,93.0,92.0,83.0,50,48.0,88.0,38.0,52.0,43.0,86,92.0,90.0,83.0,83.0
Mandanda,92,GK,Goalkeeper,1,3,34,185,80,MED/MED,Right,TOTSSF,France,Olympique de Marseille,FRA 1,0,67726.21,61780.0,64000.0,92,,,92,,,,,,,89,,,,,,,94,,,,,,,61,,,,,,90,,,,
Blind,92,CB,Defender,3,3,29,180,72,MED/MED,Left,TOTSSF,Netherlands,Ajax,NED 1,2476,74123.91,75076.0,104793.0,74,83.0,65.0,72,73.0,68.0,80.0,72.0,73.0,59.0,94,90.0,94.0,72.0,97.0,97.0,98.0,89,82.0,83.0,98.0,94.0,86.0,95.0,94,98.0,85.0,94.0,96.0,90.0,90,87.0,92.0,90.0,85.0
João Pedro,92,CF,Forward,4,4,27,184,73,HIGH/MED,Right,TOTSSF,Brazil,Cagliari,ITA 1,2418,,,,92,92.0,92.0,92,96.0,92.0,94.0,89.0,88.0,88.0,89,92.0,85.0,70.0,95.0,85.0,86.0,93,89.0,76.0,95.0,96.0,94.0,90.0,55,57.0,83.0,41.0,60.0,38.0,85,92.0,91.0,76.0,96.0
Gabriel,92,CM,Midfielder,3,5,26,187,82,MED/HIGH,Left,TOTSSF,Brazil,SL Benfica,POR 1,2565,60054.18,58571.0,67600.0,80,83.0,76.0,87,85.0,78.0,99.0,95.0,78.0,78.0,90,91.0,79.0,85.0,92.0,97.0,86.0,93,76.0,78.0,90.0,96.0,95.0,97.0,92,96.0,85.0,90.0,93.0,88.0,95,92.0,95.0,93.0,99.0
Moralez,92,CM,Midfielder,4,4,32,158,56,HIGH/HIGH,Right,TOTSSF,Argentina,New York City FC,USA 1,2499,68152.75,65000.0,110364.0,91,99.0,81.0,90,93.0,91.0,87.0,88.0,88.0,93.0,92,95.0,92.0,87.0,92.0,90.0,94.0,95,99.0,95.0,91.0,93.0,95.0,93.0,75,64.0,80.0,69.0,83.0,73.0,76,47.0,99.0,50.0,98.0
De Rossi,92,CDM,Midfielder,2,4,36,184,83,MED/HIGH,Right,SBCSpecial,Italy,Buenos Aires,ARG 1,2529,,,,78,79.0,76.0,80,68.0,62.0,99.0,90.0,92.0,99.0,90,90.0,70.0,87.0,99.0,98.0,76.0,84,74.0,86.0,96.0,92.0,76.0,99.0,92,94.0,87.0,97.0,88.0,86.0,94,90.0,85.0,95.0,99.0
Mitrović,92,ST,Forward,3,4,25,187,82,MED/MED,Right,TOTSSF,Serbia,Fulham,ENG 2,2279,62667.58,63136.0,77684.0,88,82.0,93.0,93,99.0,95.0,99.0,84.0,93.0,84.0,85,99.0,44.0,80.0,99.0,66.0,64.0,89,85.0,76.0,97.0,96.0,83.0,96.0,37,19.0,99.0,34.0,32.0,17.0,95,93.0,73.0,99.0,99.0
Taarabt,92,CM,Midfielder,4,4,30,185,75,MED/LOW,Right,TOTSSF,Morocco,SL Benfica,POR 1,2514,62598.17,59667.0,69556.0,92,94.0,89.0,88,90.0,82.0,98.0,86.0,94.0,90.0,91,98.0,87.0,91.0,89.0,83.0,99.0,97,85.0,89.0,88.0,99.0,99.0,93.0,74,78.0,72.0,80.0,72.0,58.0,94,58.0,75.0,99.0,99.0
Pogba,92,CM,Midfielder,5,5,26,191,84,HIGH/MED,Right,FUTBirthday,France,Manchester United,ENG 1,2484,890472.39,902500.0,334800.0,82,74.0,87.0,88,90.0,81.0,97.0,89.0,91.0,90.0,91,93.0,84.0,86.0,91.0,95.0,89.0,92,81.0,71.0,88.0,97.0,94.0,94.0,74,71.0,84.0,70.0,75.0,72.0,90,85.0,91.0,93.0,81.0
ter Stegen,92,GK,Goalkeeper,1,4,27,187,85,MED/MED,Right,TOTWMoments,Germany,FC Barcelona,ESP 1,0,83371.34,77135.5,58417.0,92,,,88,,,,,,,90,,,,,,,93,,,,,,,45,,,,,,91,,,,
Koulibaly,92,CB,Defender,2,3,28,187,89,MED/HIGH,Right,TOTWMoments,Senegal,Napoli,ITA 1,1873,67505.93,66875.0,72474.0,75,72.0,77.0,31,38.0,24.0,60.0,16.0,15.0,36.0,60,57.0,33.0,31.0,78.0,70.0,31.0,73,55.0,44.0,92.0,76.0,74.0,88.0,93,91.0,86.0,95.0,94.0,90.0,91,84.0,76.0,99.0,91.0
Opara,92,CB,Defender,2,2,30,188,82,MED/HIGH,Right,TOTSSF,United States,Minnesota United FC,USA 1,2328,90576.48,74053.5,85846.0,96,90.0,99.0,50,65.0,39.0,76.0,38.0,57.0,61.0,80,73.0,36.0,69.0,99.0,95.0,61.0,83,99.0,94.0,99.0,80.0,72.0,96.0,91,89.0,96.0,88.0,93.0,87.0,95,99.0,85.0,98.0,95.0
Evander,92,CM,Midfielder,5,4,21,179,72,MED/MED,Right,TOTSSF,Brazil,FC Midtjylland,DEN 1,2467,,,,88,93.0,84.0,91,82.0,88.0,99.0,92.0,65.0,88.0,93,93.0,93.0,73.0,98.0,90.0,90.0,92,98.0,98.0,80.0,88.0,94.0,76.0,77,69.0,77.0,75.0,84.0,77.0,80,74.0,94.0,70.0,85.0
Kanté,92,CB,Defender,2,3,28,168,72,MED/HIGH,Right,Shapeshifter,France,Chelsea,ENG 1,2284,401077.2,342582.5,249083.0,83,84.0,81.0,66,73.0,66.0,72.0,63.0,56.0,54.0,80,82.0,70.0,50.0,89.0,84.0,50.0,83,84.0,94.0,95.0,81.0,80.0,87.0,92,97.0,57.0,95.0,96.0,89.0,89,82.0,99.0,78.0,96.0
Lukaku,92,LM,Midfielder,4,4,25,177,86,HIGH/MED,Left,SummerHeatShowdownNominee,Belgium,Lazio,ITA 1,2562,,,,96,93.0,98.0,91,91.0,80.0,99.0,98.0,85.0,79.0,90,87.0,99.0,59.0,95.0,84.0,68.0,94,91.0,94.0,92.0,95.0,95.0,90.0,85,92.0,74.0,79.0,88.0,86.0,97,90.0,90.0,99.0,92.0
Benzema,92,ST,Forward,4,4,31,185,81,MED/LOW,Right,LaLigaPOTM,France,Real Madrid,ESP 1,2332,,,,84,86.0,81.0,92,98.0,94.0,92.0,85.0,93.0,92.0,87,93.0,81.0,79.0,92.0,78.0,88.0,94,85.0,75.0,92.0,98.0,94.0,95.0,45,45.0,95.0,54.0,27.0,20.0,82,82.0,84.0,85.0,69.0
Martial,92,ST,Forward,4,4,23,184,76,HIGH/LOW,Right,SeasonReward,France,Manchester United,ENG 1,2404,,,,98,96.0,98.0,94,95.0,95.0,97.0,89.0,85.0,94.0,88,89.0,88.0,66.0,95.0,73.0,99.0,96,94.0,89.0,90.0,97.0,98.0,89.0,48,49.0,80.0,39.0,45.0,42.0,86,84.0,90.0,89.0,70.0
Tete,92,RB,Defender,3,3,23,180,71,MED/HIGH,Right,SeasonReward,Netherlands,Olympique Lyonnais,FRA 1,2424,,,,95,91.0,98.0,61,79.0,55.0,79.0,54.0,47.0,61.0,87,79.0,94.0,44.0,96.0,84.0,71.0,91,88.0,99.0,97.0,93.0,88.0,96.0,93,89.0,88.0,91.0,96.0,98.0,92,92.0,92.0,90.0,95.0
Machís,92,ST,Forward,4,4,26,174,74,HIGH/MED,Right,SummerHeatShowdownNominee,Venezuela,Granada CF,ESP 1,2390,,,,96,97.0,96.0,91,91.0,89.0,99.0,86.0,70.0,88.0,86,84.0,89.0,70.0,88.0,83.0,82.0,94,99.0,99.0,79.0,89.0,95.0,85.0,55,55.0,73.0,57.0,50.0,34.0,88,99.0,89.0,82.0,93.0
Roussillon,92,LB,Defender,3,3,26,175,80,HIGH/MED,Left,SummerHeat,France,VfL Wolfsburg,GER 1,2433,,,,97,94.0,98.0,72,78.0,69.0,83.0,72.0,63.0,56.0,87,83.0,97.0,64.0,89.0,82.0,85.0,90,86.0,87.0,87.0,91.0,90.0,86.0,90,90.0,83.0,87.0,94.0,92.0,89,81.0,95.0,86.0,85.0
Mbabu,92,RB,Defender,3,4,24,184,83,HIGH/MED,Right,SummerHeat,Switzerland,VfL Wolfsburg,GER 1,2462,,,,99,97.0,99.0,73,99.0,70.0,94.0,62.0,55.0,50.0,90,88.0,99.0,62.0,93.0,84.0,83.0,88,94.0,85.0,83.0,89.0,86.0,85.0,90,88.0,81.0,86.0,95.0,92.0,93,88.0,99.0,93.0,83.0
Mané,92,LW,Forward,4,4,27,175,69,HIGH/MED,Right,Inform,Senegal,Liverpool,ENG 1,2351,252980.48,248407.0,363462.0,98,99.0,96.0,90,97.0,94.0,91.0,83.0,81.0,76.0,85,91.0,81.0,70.0,89.0,78.0,83.0,92,96.0,89.0,94.0,90.0,93.0,87.0,48,38.0,88.0,45.0,45.0,41.0,80,92.0,91.0,72.0,81.0
Undav,92,ST,Forward,3,5,23,178,86,MED/LOW,Right,TOTSSF,Germany,SV Meppen,GER 3,2387,,,,94,95.0,94.0,92,92.0,94.0,99.0,86.0,90.0,42.0,83,92.0,75.0,92.0,90.0,54.0,99.0,90,97.0,99.0,81.0,91.0,84.0,84.0,57,33.0,99.0,45.0,66.0,53.0,97,90.0,80.0,99.0,92.0
Sergio Ramos,92,CB,Defender,3,3,33,184,82,HIGH/MED,Right,Inform,Spain,Real Madrid,ESP 1,2392,216056.42,213846.0,236841.0,76,78.0,74.0,73,71.0,67.0,84.0,66.0,74.0,92.0,79,74.0,69.0,75.0,84.0,87.0,77.0,79,83.0,70.0,92.0,88.0,69.0,89.0,92,93.0,97.0,89.0,92.0,95.0,89,97.0,83.0,89.0,94.0
Bruno Fernandes,92,CAM,Midfielder,4,5,23,179,69,HIGH/HIGH,Right,SummerHeat,Portugal,Manchester United,ENG 1,2527,,,,90,92.0,88.0,92,89.0,85.0,98.0,97.0,95.0,96.0,94,95.0,92.0,94.0,92.0,94.0,92.0,93,85.0,86.0,91.0,95.0,93.0,94.0,73,81.0,65.0,74.0,71.0,64.0,82,79.0,99.0,74.0,77.0
Sarr,92,CB,Defender,2,4,20,182,73,LOW/HIGH,Left,SummerHeat,France,OGC Nice,FRA 1,2397,,,,87,88.0,87.0,63,72.0,60.0,84.0,49.0,45.0,54.0,86,79.0,86.0,74.0,93.0,87.0,75.0,86,96.0,91.0,95.0,87.0,80.0,99.0,91,91.0,87.0,88.0,93.0,89.0,94,96.0,91.0,97.0,84.0
Fabinho,92,CDM,Midfielder,3,3,25,188,78,MED/HIGH,Right,SummerHeatShowdownNominee,Brazil,Liverpool,ENG 1,2562,,,,86,84.0,87.0,87,88.0,83.0,98.0,81.0,59.0,99.0,92,92.0,88.0,62.0,97.0,96.0,83.0,90,77.0,77.0,98.0,95.0,88.0,98.0,95,98.0,83.0,93.0,96.0,95.0,93,84.0,98.0,90.0,95.0
Raphinha,92,RM,Midfielder,4,3,22,176,68,HIGH/MED,Left,TOTSSFMoments,Brazil,Stade Rennais,FRA 1,2452,,,,96,97.0,96.0,92,98.0,87.0,99.0,92.0,89.0,90.0,86,87.0,88.0,83.0,87.0,77.0,94.0,94,99.0,90.0,91.0,91.0,95.0,90.0,62,69.0,56.0,56.0,68.0,48.0,81,84.0,94.0,72.0,85.0
Boëtius,92,CAM,Midfielder,4,4,25,178,76,MED/HIGH,Right,SummerHeatShowdownNominee,Netherlands,1. FSV Mainz 05,GER 1,2384,,,,95,95.0,95.0,90,99.0,88.0,91.0,93.0,92.0,78.0,90,96.0,87.0,72.0,91.0,81.0,97.0,92,99.0,86.0,86.0,90.0,93.0,82.0,54,45.0,78.0,52.0,55.0,46.0,80,85.0,99.0,75.0,58.0
Phillips,92,CDM,Midfielder,3,3,23,178,72,MED/HIGH,Right,TOTSSF,England,Leeds United,ENG 2,2584,275445.94,152286.0,145192.0,87,85.0,87.0,88,88.0,85.0,99.0,89.0,73.0,77.0,93,90.0,86.0,90.0,99.0,99.0,70.0,89,87.0,92.0,90.0,92.0,83.0,99.0,91,91.0,79.0,91.0,94.0,88.0,96,93.0,98.0,94.0,96.0
Griezmann,92,CAM,Midfielder,4,5,28,176,73,HIGH/HIGH,Left,FUTBirthday,France,FC Barcelona,ESP 1,2436,589580.3,423750.0,151200.0,86,87.0,86.0,91,95.0,94.0,86.0,87.0,92.0,91.0,90,92.0,88.0,91.0,91.0,87.0,92.0,92,93.0,85.0,95.0,93.0,90.0,92.0,59,50.0,86.0,61.0,55.0,50.0,76,93.0,91.0,66.0,77.0
Dalglish,92,ST,Forward,4,5,68,173,73,HIGH/MED,Right,Icon,Scotland,Icons,ICO,2271,1660726.51,1734500.0,718000.0,90,92.0,89.0,92,93.0,94.0,89.0,91.0,93.0,90.0,77,75.0,77.0,88.0,85.0,56.0,83.0,91,92.0,90.0,94.0,91.0,89.0,89.0,41,30.0,86.0,36.0,39.0,37.0,73,79.0,86.0,67.0,71.0
Bergkamp,92,CF,Forward,4,4,50,183,78,MED/MED,Right,Icon,Netherlands,Icons,ICO,2272,481596.34,355300.0,162000.0,84,85.0,83.0,91,94.0,93.0,91.0,85.0,93.0,94.0,86,91.0,84.0,84.0,90.0,77.0,82.0,90,81.0,82.0,95.0,94.0,89.0,95.0,37,30.0,64.0,28.0,41.0,36.0,78,78.0,82.0,77.0,74.0
Gueye,92,CDM,Midfielder,3,3,29,174,66,MED/HIGH,Right,ChampionsLeagueLive,Senegal,Paris Saint-Germain,FRA 1,2449,,,,87,88.0,85.0,74,81.0,62.0,99.0,82.0,40.0,67.0,85,78.0,72.0,74.0,95.0,93.0,54.0,90,94.0,92.0,95.0,91.0,87.0,92.0,94,98.0,76.0,92.0,99.0,91.0,89,99.0,99.0,78.0,96.0
Martial,92,LW,Forward,4,3,23,184,76,MED/LOW,Right,EuropaLeagueLive,France,Manchester United,ENG 1,2416,324568.33,292714.0,197000.0,98,96.0,98.0,93,94.0,94.0,96.0,88.0,84.0,93.0,88,89.0,88.0,66.0,95.0,73.0,99.0,97,95.0,90.0,91.0,98.0,99.0,90.0,51,52.0,85.0,42.0,48.0,44.0,85,83.0,89.0,88.0,69.0
De Bruyne,92,CM,Midfielder,4,5,28,181,70,HIGH/HIGH,Right,Inform,Belgium,Manchester City,ENG 1,2335,260352.53,242750.0,107000.0,77,78.0,77.0,88,90.0,83.0,93.0,92.0,83.0,80.0,93,95.0,94.0,83.0,93.0,91.0,85.0,88,78.0,76.0,92.0,92.0,86.0,92.0,62,62.0,55.0,69.0,58.0,51.0,80,64.0,91.0,75.0,77.0
Neymar Jr,92,LW,Forward,5,5,27,175,68,HIGH/MED,Right,ChampionsLeagueRare,Brazil,Paris Saint-Germain,FRA 1,2197,517716.92,594000.0,100750.0,91,94.0,89.0,85,87.0,87.0,80.0,84.0,87.0,90.0,87,90.0,87.0,87.0,87.0,81.0,88.0,95,96.0,84.0,92.0,95.0,96.0,94.0,32,36.0,62.0,27.0,26.0,29.0,58,61.0,81.0,49.0,51.0
Neymar Jr,92,LW,Forward,5,5,27,175,68,HIGH/MED,Right,Non-Inform,Brazil,Paris Saint-Germain,FRA 1,2197,537073.92,616769.0,91222.0,91,94.0,89.0,85,87.0,87.0,80.0,84.0,87.0,90.0,87,90.0,87.0,87.0,87.0,81.0,88.0,95,96.0,84.0,92.0,95.0,96.0,94.0,32,36.0,62.0,27.0,26.0,29.0,58,61.0,81.0,49.0,51.0
Hazard,92,LW,Forward,4,4,28,175,74,HIGH/MED,Right,OnesToWatch,Belgium,Real Madrid,ESP 1,2217,392016.31,266483.5,164417.0,92,95.0,88.0,85,89.0,86.0,83.0,81.0,85.0,90.0,88,91.0,82.0,80.0,91.0,84.0,84.0,95,96.0,95.0,90.0,95.0,96.0,91.0,36,42.0,62.0,34.0,27.0,22.0,67,56.0,85.0,63.0,54.0
Kane,92,ST,Forward,3,4,26,188,89,HIGH/HIGH,Right,UCLTOTT,England,Tottenham Hotspur,ENG 1,2318,88220.76,87577.0,65222.0,77,74.0,79.0,94,96.0,97.0,92.0,88.0,87.0,92.0,84,86.0,79.0,72.0,86.0,88.0,82.0,86,75.0,77.0,96.0,89.0,84.0,96.0,50,37.0,91.0,59.0,38.0,40.0,86,81.0,90.0,87.0,80.0
Gómez,92,CAM,Midfielder,4,4,31,165,68,HIGH/MED,Right,ChampionsLeagueLive,Argentina,Atalanta,ITA 1,2341,,,,97,99.0,92.0,91,95.0,92.0,88.0,92.0,84.0,84.0,92,96.0,92.0,89.0,92.0,84.0,89.0,95,99.0,99.0,89.0,93.0,93.0,92.0,46,47.0,44.0,58.0,35.0,40.0,65,82.0,82.0,54.0,66.0
Rivaldo,92,LW,Forward,4,2,47,186,75,MED/LOW,Left,Icon,Brazil,Icons,ICO,2335,377640.2,304939.5,229909.0,87,86.0,88.0,91,91.0,89.0,94.0,94.0,92.0,88.0,88,88.0,89.0,92.0,89.0,84.0,94.0,92,90.0,77.0,93.0,94.0,92.0,92.0,44,38.0,77.0,39.0,43.0,39.0,78,75.0,85.0,81.0,62.0
De Bruyne,92,CAM,Midfielder,4,5,28,181,70,HIGH/HIGH,Right,TOTYNominee,Belgium,Manchester City,ENG 1,2325,192315.33,190917.0,142000.0,77,78.0,77.0,87,89.0,82.0,92.0,91.0,82.0,79.0,93,95.0,94.0,83.0,93.0,91.0,85.0,88,78.0,76.0,92.0,92.0,86.0,92.0,62,62.0,55.0,69.0,58.0,51.0,79,63.0,90.0,74.0,76.0
Zanetti,92,RB,Defender,2,4,46,178,74,HIGH/HIGH,Right,Icon,Argentina,Icons,ICO,2312,480018.57,391083.5,294250.0,86,85.0,87.0,63,77.0,62.0,75.0,50.0,60.0,69.0,88,84.0,95.0,58.0,94.0,88.0,60.0,85,79.0,85.0,91.0,92.0,81.0,88.0,90,93.0,85.0,88.0,91.0,89.0,81,50.0,92.0,77.0,87.0
Emilio Butragueno,92,ST,Forward,3,5,56,168,68,MED/LOW,Right,Icon,Spain,Icons,ICO,2245,1299929.55,1396800.0,552000.0,94,95.0,93.0,90,92.0,95.0,87.0,85.0,87.0,83.0,80,89.0,75.0,77.0,85.0,62.0,79.0,92,91.0,90.0,91.0,92.0,93.0,89.0,41,45.0,88.0,35.0,33.0,30.0,68,84.0,84.0,65.0,51.0
Sanchez,92,ST,Forward,3,4,61,176,73,HIGH/MED,Left,Icon,Mexico,Icons,ICO,2288,575632.9,431740.0,177333.0,92,91.0,92.0,93,89.0,94.0,93.0,89.0,98.0,90.0,81,84.0,85.0,89.0,85.0,56.0,85.0,90,92.0,90.0,89.0,90.0,93.0,60.0,44,45.0,93.0,38.0,37.0,34.0,75,86.0,79.0,74.0,68.0
Schmeichel,92,GK,Goalkeeper,1,3,55,193,92,MED/MED,Right,Icon,Denmark,Icons,ICO,1300,238792.73,183400.0,159571.0,92,52.0,45.0,87,34.0,34.0,66.0,28.0,23.0,39.0,88,74.0,35.0,31.0,35.0,33.0,24.0,94,48.0,46.0,88.0,35.0,31.0,74.0,52,40.0,41.0,23.0,20.0,22.0,90,75.0,70.0,83.0,51.0
Mahrez,92,RW,Forward,5,4,28,179,67,MED/MED,Left,ChampionsLeagueLive,Algeria,Manchester City,ENG 1,2347,131183.59,112375.0,94143.0,93,96.0,90.0,91,92.0,89.0,92.0,93.0,88.0,81.0,92,94.0,94.0,90.0,90.0,87.0,97.0,96,99.0,93.0,83.0,97.0,97.0,90.0,46,47.0,58.0,54.0,37.0,26.0,73,74.0,94.0,66.0,59.0
Hazard,92,LF,Forward,4,4,28,175,74,HIGH/MED,Right,Inform,Belgium,Real Madrid,ESP 1,2217,220023.56,194687.5,89571.0,92,95.0,88.0,85,89.0,86.0,83.0,81.0,85.0,90.0,88,91.0,82.0,80.0,91.0,84.0,84.0,95,96.0,95.0,90.0,95.0,96.0,91.0,36,42.0,62.0,34.0,27.0,22.0,67,56.0,85.0,63.0,54.0
Oblak,92,GK,Goalkeeper,1,3,26,188,87,MED/MED,Right,ChampionsLeagueMOTM,Slovenia,Atlético de Madrid,ESP 1,0,77930.08,70900.0,75700.0,89,,,93,,,,,,,79,,,,,,,91,,,,,,,51,,,,,,91,,,,
